"tail.number","treatment","microbiome.sample","tumor.volume","time.point","unique.mouse.id","experiment","cage"
"1","Anti-PD-1","HONC-60-55.v3",13.122,1,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v3",41.876,2,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v3",202.3425,3,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v3",247.572,4,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v3",367.84,5,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v3",440.896,6,"1_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v4",27.3325,1,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v4",5.9565,2,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v4",31.0365,3,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v4",71.1865,4,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v4",0,5,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"1","Anti-PD-1","HONC-60-55.v4",0,6,"1_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v3",25.047,1,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v3",74.925,2,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v3",55.6875,3,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v3",5.6,4,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v3",4,5,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v3",0,6,"2_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v4",3.078,1,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v4",15.309,2,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v4",0,3,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v4",21.964,4,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v4",103.518,5,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"2","Anti-PD-1","HONC-60-55.v4",165.528,6,"2_Anti-PD-1_HONC-60-55.v4","mimic1",NA
"3","Anti-PD-1","HONC-60-55.v3",13.8765,1,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD-1","HONC-60-55.v3",2.376,2,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
"3","Anti-PD-1","HONC-60-55.v3",94.8395,3,"3_Anti-PD-1_HONC-60-55.v3","mimic1",NA
